"tick","uncolonized_count","colonized_count","infection_count","total_count"
845.1,42610,1357,11,43978
846.1,42610,1357,11,43978
847.1,42609,1357,12,43978
848.1,42610,1357,11,43978
849.1,42609,1357,12,43978
850.1,42608,1358,12,43978
851.1,42608,1357,13,43978
852.1,42609,1355,14,43978
853.1,42609,1354,15,43978
854.1,42609,1354,15,43978
855.1,42608,1354,16,43978
856.1,42607,1355,16,43978
857.1,42609,1354,15,43978
858.1,42609,1353,16,43978
859.1,42609,1353,16,43978
860.1,42610,1352,16,43978
861.1,42610,1352,16,43978
862.1,42610,1351,17,43978
863.1,42610,1350,18,43978
864.1,42610,1350,18,43978
865.1,42611,1350,17,43978
866.1,42613,1350,15,43978
867.1,42613,1350,15,43978
868.1,42614,1350,14,43978
869.1,42612,1351,15,43978
870.1,42612,1350,16,43978
871.1,42612,1350,16,43978
872.1,42612,1350,16,43978
873.1,42611,1351,16,43978
874.1,42612,1351,15,43978
875.1,42612,1352,14,43978
876.1,42612,1351,15,43978
877.1,42613,1352,13,43978
878.1,42613,1352,13,43978
879.1,42613,1352,13,43978
880.1,42613,1351,14,43978
881.1,42614,1351,13,43978
882.1,42615,1348,15,43978
883.1,42615,1348,15,43978
884.1,42615,1348,15,43978
885.1,42616,1347,15,43978
886.1,42612,1350,16,43978
887.1,42612,1350,16,43978
888.1,42611,1351,16,43978
889.1,42611,1351,16,43978
890.1,42612,1352,14,43978
891.1,42612,1351,15,43978
892.1,42611,1352,15,43978
893.1,42611,1351,16,43978
894.1,42611,1350,17,43978
895.1,42610,1350,18,43978
896.1,42611,1350,17,43978
897.1,42612,1348,18,43978
898.1,42614,1347,17,43978
899.1,42614,1347,17,43978
900.1,42614,1347,17,43978
901.1,42614,1347,17,43978
902.1,42614,1348,16,43978
903.1,42615,1346,17,43978
904.1,42615,1346,17,43978
905.1,42615,1347,16,43978
906.1,42614,1348,16,43978
907.1,42615,1347,16,43978
908.1,42615,1346,17,43978
909.1,42616,1345,17,43978
910.1,42615,1346,17,43978
911.1,42614,1347,17,43978
912.1,42615,1348,15,43978
913.1,42614,1348,16,43978
914.1,42614,1348,16,43978
915.1,42614,1347,17,43978
916.1,42614,1346,18,43978
917.1,42614,1346,18,43978
918.1,42613,1347,18,43978
919.1,42612,1348,18,43978
920.1,42611,1348,19,43978
921.1,42611,1347,20,43978
922.1,42611,1346,21,43978
